device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
74DA38E2B532,,,,,30.15645,45.307692307692,31.431955,,,,
74DA38E2B546,,,,,25.009827,23.416666666667,22.054132,,,,
74DA38E2B550,,,,,26.055035,29.833333333333,22.282925,,,,
74DA38E2B576,,,,,39.394176,,38.060722,,,,
74DA38E2B578,,,,,31.547832,,30.800463,,,,
74DA38E2B57A,,,,,33.07866,25.692307692308,25.235043,,,,
74DA38E2B586,,,,,13.502764,10.333333333333,12.338592,,,,
74DA38E2B5A0,,,,,11.086523,13.0,15.352276,,,,
74DA38E2B5A2,,,,,14.304388,,12.075285,,,,
74DA38E2B5B2,,,,,40.66897,53.692307692308,41.13459,,,,
74DA38E2B5C2,,,,,22.755478,11.0,18.706863,,,,
74DA38E2B5CC,,,,,0.2345923,0.0,0.026693074,,,,
74DA38E2B5CE,,,,,26.171867,,18.708193,,,,
74DA38E2B5DA,,,,,20.009066,,20.874166,,,,
74DA38E2B5DE,,,,,41.752884,26.5,33.873695,,,,
74DA38E2B5E0,,,,,44.72557,27.25,37.21176,,,,
74DA38E2B5E4,,,,,31.51905,37.153846153846,32.219788,,,,
74DA38E2B5EC,,,,,45.39112,47.909090909091,46.74654,,,,
74DA38E2B5EE,,,,,15.569198,37.538461538462,16.932077,,,,
74DA38E2B5F0,,,,,6.566029,,5.6375127,,,,
74DA38E2B606,,,,,25.967794,,22.311985,,,,
74DA38E2B60A,,,,,32.509106,29.333333333333,26.873217,,,,
74DA38E2B60E,,,,,23.01349,,19.158098,,,,
74DA38E2B618,,,,,43.238293,50.846153846154,45.05744,,,,
74DA38E2B622,,,,,34.98549,,23.347197,,,,
74DA38E2B624,,,,,42.22237,25.769230769231,34.28084,,,,
74DA38E2B62A,,,,,39.26874,27.538461538462,32.300377,,,,
74DA38E2B62E,,,,,23.86672,17.083333333333,20.275932,,,,
74DA38E2B646,,,,,30.263529,30.0,26.650963,,,,
74DA38E2B658,,,,,26.591171,,17.446398,,,,
